kind,league,slot,league_rank,name,url
player,Ligue 1,59,36,"A. Diabate",https://4590football.com/livescore/football/player/471290/a-diabate
player,Premier League,60,40,"A. Ramsdale",https://4590football.com/livescore/football/player/20355/a-ramsdale
player,La Liga,60,37,"A. Andreev",https://4590football.com/livescore/football/player/442861/a-andreev
player,Bundesliga,60,40,"A. Ibrahimović",https://4590football.com/livescore/football/player/327897/a-ibrahimovi
player,Serie A,60,37,"A. Bonny",https://4590football.com/livescore/football/player/275651/a-bonny
player,Ligue 1,60,37,"A. Dioussé",https://4590football.com/livescore/football/player/30748/a-diousse
player,Premier League,61,41,"A. Robertson",https://4590football.com/livescore/football/player/289/a-robertson
player,La Liga,61,38,"A. Arcos",https://4590football.com/livescore/football/player/554287/a-arcos
player,Bundesliga,61,41,"A. Ilić",https://4590football.com/livescore/football/player/45892/a-ili
player,Serie A,61,38,"A. Buksa",https://4590football.com/livescore/football/player/40594/a-buksa
player,Ligue 1,61,38,"A. Dønnum",https://4590football.com/livescore/football/player/39115/a-donnum
player,Premier League,62,42,"A. Robinson",https://4590football.com/livescore/football/player/19549/a-robinson
player,La Liga,62,39,"A. Batalla",https://4590football.com/livescore/football/player/11379/a-batalla
player,Bundesliga,62,42,"A. Jung",https://4590football.com/livescore/football/player/15874/a-jung
